Авиагородок 
Автово 
Александровское 
Апраксин двор
Большая Охта 
Васильевский остров
Весёлый Посёлок
Волково 
Володарский 
Волынкина деревня
Гавань 
Глухое озеро 
Горелово 
Горская 
Горячее поле 
Горячее поле 
Горячее поле 
Госпитальная слобода 
Гражданка 
Гребецкая слобода
Греческая слобода 
Дачное 
Дворцовая слобода 
Дибуны
Динамо 
Дудергофские высоты
Егерская слобода 
Жерновка 
Заячий Ремиз
Каменка 
Клочки
Коломна 
Коломяги
Колтовские 
Комендантский аэродром 
Компанейская слобода
Кондакопшино 
Корпусной аэродром
Красные Зори 
Кронштадтская колония 
Купчино
Куракина Дача
Кушелевка
Ланская 
Лахта 
Ленсоветовский
Лесной 
Лигово 
Луизино 
Малая Охта 
Мартышкино 
Можайский 
Морская слобода
Нарвская застава
Невская застава
Немецкая слобода 
Новая Деревня 
Новая Ижора
Ново-Паново
Ново-Парголовская колония
Озерки 
Озеро Долгое 
Ольгино 
Осиновая Роща
Охта 
Парнас 
Пески 
Петергофская колония
Петроградская сторона
Пискарёвка 
Поклонная гора 
Полюстрово 
Пороховые 
Посёлок Свердлова 
Пулково 
Пулковское 
Пязелево
Пять углов 
Ржевка-Пороховые
Русановка 
Ручьи 
Рыбацкое 
Семенцы
Сергиевская слобода 
Сестрорецкий курорт
Скороход 
Славянка 
Соляной городок
Сосновая Поляна 
Сосновка 
Сосновка 
София 
Средняя Рогатка
Старая Деревня 
Старо-Паново
Стеклянный городок
Стрелка Васильевского острова
Суворовский городок
Тарховка
Татарская слобода 
Торики
Турухтанные острова
Тучков буян
Удельная 
Ульянка 
Усть-Славянка
Уткина дача
Уткина Заводь 
Французская слобода 
Хлебная слобода
Шуваловка 
Шувалово 
Шувалово-Озерки
Щемиловка 
Юго-Запад 
Яблоновка 
Московская Застава
Тентелева
Черновка
Охта
