OSM_ID,NAME
84207517,3-й Рабфаковский переулок
31366203,3-й Рыбацкий проезд
95854267,3-й Смоленский мост
126441508,3-я аллея
38505975,3-я Волховстроевская улица
59291500,3-я дорога
205945000,3-я дорожка
225914246,3-я Жерновская улица
152432735,3-я Зелёная улица
178941078,3-я Конная Лахта
31369843,3-я Красноармейская улица
228883327,3-я Лесная улица
173341065,3-я линия
270823197,3-я линия 1-й половины
42475335,3-я линия 2-й половины
126441536,3-я Малая улица
202709783,3-я Новая
113868149,3-я Полянская улица
202801947,3-я Поперечная
31398511,3-я Поперечная улица
44076577,3-я Советская улица
31376585,3-я Тарховская улица
152432737,3-я Тенистая улица
38479212,3-я улица
190811594,4-5-я линии В.О.
24871773,4-й Верхний переулок
105714071,4-й Волковский мост
265080324,4-й Ждановский мост
242393474,4-й Каменноостровский мост
35110005,4-й переулок
22823130,4-й Предпортовый проезд
53577452,4-й проезд
23103502,4-й Рыбацкий проезд
95854273,4-й Смоленский мост
126441553,4-я аллея
153023635,4-я Дачная улица
59291502,4-я дорога
205945002,4-я дорожка
137382135,4-я Красноармейская улица
173341072,4-я линия
189640368,4-я линия В.О.
126562714,4-я Малая улица
187333190,4-я парадная аллея
106291464,4-я Пляжевая улица
25893233,4-я Поперечная улица
72030382,4-я Советская улица
31379287,4-я Тарховская улица
152432756,4-я Тенистая улица
126337275,5-й Верхний переулок
242393475,5-й Каменноостровский мост
195836939,5-й Предпортовый проезд
106291461,5-й проезд
25036963,5-й ржевский мост
201355397,5-й Рыбацкий проезд
206010689,5-я аллея
153023636,5-я Дачная улица
59291549,5-я дорога
205945004,5-я дорожка
69407792,5-я Жерновская улица
31370676,5-я Красноармейская улица
206259174,5-я линия
189640369,5-я линия В.О.
126563981,5-я Малая улица
187333191,5-я парадная аллея
25893820,5-я Поперечная улица
172709587,5-я Советская улица
230638521,5-я Тарховская улица
31374939,6-7-я линии В.О.
176032419,6-й Верхний переулок
242393941,6-й Каменноостровский мост
35967749,6-й Предпортовый проезд
54649815,6-й проезд
206010691,6-я аллея
205945005,6-я дорожка
35551889,6-я Жерновская улица
31378594,6-я Красноармейская улица
173341064,6-я линия
80166918,6-я линия В.О.
35216345,6-я Поперечная улица
172709588,6-я Советская улица
230422543,6-я Тарховская улица
242393942,7-й Каменноостровский мост
13803176,7-й Предпортовый проезд
152432760,7-й проезд
126999316,7-я аллея
205945006,7-я дорожка
31402420,7-я Красноармейская улица
173341069,7-я линия
80166943,7-я линия В.О.
41323763,7-я Поперечная улица
190455855,7-я Советская улица
4461835,8-9-я линии В.О.
136263282,8-й Верхний переулок
79639498,8-й Предпортовый проезд
206010694,8-й проезд
126999317,8-я аллея
94727821,8-я дорожка
4459443,8-я Красноармейская улица
25655118,8-я линия
36778936,8-я Поперечная улица
172707941,8-я Советская улица
156734250,9-й Верхний переулок
242395136,9-й Каменноостровский мост
206010479,9-й проезд
126999318,9-я аллея
206360119,9-я дорожка
4458128,9-я Красноармейская улица
173341067,9-я линия
137970328,9-я парадная аллея
172709591,9-я Советская улица
75219238,Абросимова улица
31399581,Авангардная улица
77722464,Авангардный мост
173483808,Авиационная улица
172447254,Австрийская площадь
31403059,Автобусная улица
192292869,Автобусный переулок
217557161,Автовская улица
4462030,Автогенная улица
181989788,Автозаводская улица
80240517,Автозаводский проезд
78083271,Автомобильная улица
32780203,Агатов переулок
81986852,Аграрная улица
237288755,Адмиралтейская набережная
178878506,Адмиралтейский мост
237288758,Адмиралтейский проезд
147284237,Адмиралтейский проспект
60920389,Адмиральский проезд
222382223,Азовская улица
33112681,Азовский переулок
93773922,Академическая улица
31366495,Академический переулок
244822654,Академический проспект
31403789,Актёрский проезд
154259400,Аларчин мост
51955346,Александрийское шоссе
146786250,Александровская линия
178718873,Александровская улица
103990390,Александровский бульвар
31366479,Александровский парк
193549142,Александровское шоссе
52468852,Алексеевская улица
206259096,Алексеевский переулок
138017166,аллея Академика Глушко
165097141,аллея Академика Лихачёва
224896053,аллея Барсукова
31380325,аллея Белого султана
187333173,аллея Богатого поля
31369567,аллея Будочкина
131242671,аллея Героев
